iterations       power from maximum power to 0            a            b            c            x        error         time
77.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015894
77.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015901
78.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015919
78.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015926
79.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015944
79.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015952
80.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015970
80.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015978
81.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015994
81.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016001
82.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016017
82.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016024
83.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016039
83.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016046
84.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016063
84.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016070
85.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016086
85.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016092
86.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016109
86.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016116
87.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016132
87.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016139
88.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016155
88.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016162
89.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016179
89.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016186
90.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016203
90.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016209
91.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016235
91.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016243
92.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016260
92.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016267
93.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016283
93.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016289
94.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016349
94.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016355
95.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016370
95.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016375
96.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016390
96.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016396
97.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016412
97.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016417
98.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016433
98.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016441
99.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016450
99.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016454
100.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016466
100.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016470
101.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016480
101.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016484
102.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016494
102.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016499
103.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016509
103.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016514
104.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016523
104.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016528
105.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016538
105.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016543
106.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016554
106.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016557
107.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016567
107.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016571
108.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016581
108.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016586
109.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016596
109.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016601
110.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016611
110.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016615
111.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016625
111.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016629
112.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.016640
112.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.016644
